day,flag_weekend,kd_armada,asal,tujuan,kapasitas,penumpang,waktu_keberangkatan,load_factor,urutan_keberangkatan
Monday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-02 22:30:00,42.10526315789473,33
Monday,0,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,2.0,2024-12-02 22:30:00,10.526315789473683,34
Monday,0,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-02 22:30:00,68.42105263157895,35
Monday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,9.0,2024-12-02 22:30:00,47.368421052631575,36
Monday,0,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-02 22:30:00,5.263157894736842,37
Monday,0,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-02 23:30:00,26.31578947368421,38
Monday,0,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-02 08:30:00,21.052631578947366,1
Monday,0,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-02 08:30:00,36.84210526315789,2
Monday,0,ID-JK 2303,stasiun gambir,bandara soekarno hatta,19,12.0,2024-12-02 08:30:00,63.1578947368421,3
Monday,0,ID-JK 2304,stasiun gambir,bandara soekarno hatta,19,13.0,2024-12-02 08:30:00,68.42105263157895,4
Monday,0,ID-JK 2306,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-02 08:30:00,26.31578947368421,5
Monday,0,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,2.0,2024-12-02 08:30:00,10.526315789473683,6
Monday,0,ID-JK 2309,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-02 08:30:00,47.368421052631575,7
Monday,0,ID-JK 2310,stasiun gambir,bandara soekarno hatta,19,10.0,2024-12-02 08:30:00,52.63157894736842,8
Monday,0,ID-JK 2311,stasiun gambir,bandara soekarno hatta,19,8.0,2024-12-02 08:30:00,42.10526315789473,9
Monday,0,ID-JK 2312,stasiun gambir,bandara soekarno hatta,19,21.0,2024-12-02 08:30:00,100.0,10
Monday,0,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-02 08:30:00,26.31578947368421,11
Monday,0,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-02 11:30:00,21.052631578947366,12
Monday,0,ID-JK 2311,stasiun gambir,bandara soekarno hatta,19,6.0,2024-12-02 11:30:00,31.57894736842105,13
Monday,0,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,13.0,2024-12-02 12:30:00,68.42105263157895,14
Monday,0,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-02 14:00:00,36.84210526315789,15
Monday,0,ID-JK 2303,stasiun gambir,bandara soekarno hatta,19,11.0,2024-12-02 14:00:00,57.89473684210527,16
Monday,0,ID-JK 2304,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-02 14:00:00,21.052631578947366,17
Monday,0,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,2.0,2024-12-02 14:00:00,10.526315789473683,18
Monday,0,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-02 14:00:00,26.31578947368421,19
Monday,0,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-02 14:00:00,26.31578947368421,20
Monday,0,ID-JK 2309,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-02 14:00:00,47.368421052631575,21
Monday,0,ID-JK 2310,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-02 14:00:00,47.368421052631575,22
Monday,0,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-02 14:00:00,47.368421052631575,23
Monday,0,ID-JK 2311,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-02 18:30:00,5.263157894736842,24
Monday,0,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-02 20:30:00,21.052631578947366,25
Monday,0,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,2.0,2024-12-02 21:30:00,10.526315789473683,26
Monday,0,ID-JK 2303,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-02 21:30:00,21.052631578947366,27
Monday,0,ID-JK 2304,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-02 21:30:00,47.368421052631575,28
Monday,0,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-02 21:30:00,36.84210526315789,29
Monday,0,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-02 21:30:00,5.263157894736842,30
Monday,0,ID-JK 2309,stasiun gambir,bandara soekarno hatta,19,1.0,2024-12-02 21:30:00,5.263157894736842,31
Monday,0,ID-JK 2310,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-02 21:30:00,47.368421052631575,32
Monday,0,ID-JK 2312,stasiun gambir,bandara soekarno hatta,19,3.0,2024-12-02 21:30:00,15.789473684210526,33
Monday,0,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,2.0,2024-12-02 21:30:00,10.526315789473683,34
Monday,0,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-02 22:30:00,21.052631578947366,35
Tuesday,0,BIH 034,bandara soekarno hatta,stasiun gambir,32,12.0,2024-12-03 03:30:00,37.5,1
Tuesday,0,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,52.0,2024-12-03 05:30:00,100.0,2
Tuesday,0,BIH 026,bandara soekarno hatta,stasiun gambir,32,17.0,2024-12-03 06:30:00,53.125,3
Tuesday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-03 06:30:00,26.31578947368421,4
Tuesday,0,ID-JK 2306,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-03 06:30:00,36.84210526315789,5
Tuesday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,14.0,2024-12-03 06:30:00,73.68421052631578,6
Tuesday,0,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-03 06:30:00,15.789473684210526,7
Tuesday,0,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,6.0,2024-12-03 07:30:00,31.57894736842105,8
Tuesday,0,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-03 09:30:00,36.84210526315789,9
Tuesday,0,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-03 10:30:00,42.10526315789473,10
Tuesday,0,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-03 10:30:00,15.789473684210526,11
Tuesday,0,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-03 13:30:00,42.10526315789473,12
Tuesday,0,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-03 14:00:00,36.84210526315789,13
Tuesday,0,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-03 14:00:00,5.263157894736842,14
Tuesday,0,BIH 034,bandara soekarno hatta,stasiun gambir,32,2.0,2024-12-03 14:30:00,6.25,15
Tuesday,0,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-03 14:30:00,26.31578947368421,16
Tuesday,0,ID-JK 2306,bandara soekarno hatta,stasiun gambir,19,18.0,2024-12-03 14:30:00,94.73684210526316,17
Tuesday,0,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-03 14:30:00,5.263157894736842,18
Tuesday,0,BIH 034,bandara soekarno hatta,stasiun gambir,32,8.0,2024-12-03 15:30:00,25.0,19
Tuesday,0,BIH 026,bandara soekarno hatta,stasiun gambir,32,4.0,2024-12-03 17:00:00,12.5,20
Tuesday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-03 17:00:00,36.84210526315789,21
Tuesday,0,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-03 17:00:00,42.10526315789473,22
Tuesday,0,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,6.0,2024-12-03 17:00:00,31.57894736842105,23
Tuesday,0,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-03 17:00:00,68.42105263157895,24
Tuesday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,9.0,2024-12-03 17:00:00,47.368421052631575,25
Tuesday,0,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,6.0,2024-12-03 17:00:00,31.57894736842105,26
Tuesday,0,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-03 17:00:00,42.10526315789473,27
Tuesday,0,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-03 17:30:00,21.052631578947366,28
Tuesday,0,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,9.0,2024-12-03 17:30:00,47.368421052631575,29
Tuesday,0,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,12.0,2024-12-03 18:00:00,63.1578947368421,30
Tuesday,0,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-03 19:30:00,26.31578947368421,31
Tuesday,0,ID-JK 2306,bandara soekarno hatta,stasiun gambir,19,6.0,2024-12-03 20:30:00,31.57894736842105,32
Tuesday,0,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-03 21:00:00,57.89473684210527,33
Tuesday,0,BIH 034,bandara soekarno hatta,stasiun gambir,32,20.0,2024-12-03 21:30:00,62.5,34
Tuesday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-03 21:30:00,5.263157894736842,35
Tuesday,0,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,10.0,2024-12-03 21:30:00,52.63157894736842,36
Tuesday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-03 21:30:00,5.263157894736842,37
Tuesday,0,BIH 026,bandara soekarno hatta,stasiun gambir,32,5.0,2024-12-03 22:30:00,15.625,38
Tuesday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-03 22:30:00,15.789473684210526,39
Tuesday,0,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,6.0,2024-12-03 23:30:00,31.57894736842105,40
Tuesday,0,BIH 034,stasiun gambir,bandara soekarno hatta,32,2.0,2024-12-03 02:30:00,6.25,1
